THÔNG TIN SP,,,,,,,,PHÂN LOẠI,GIÁ SX,TỒN KHO,,
,,MÃ SP,MÀU,SIZE,HÌNH,,,SẢN PHẨM CHỦ LỰC,DAY,TỒN KHO,TỔNG TIỀN,
PO98,PO98-XĐ-M,PO98,XANH ĐEN,M,,,,SẢN PHẨM CHỦ LỰC,0,144,"16,632,000 đ",
PO98,PO98-XĐ-L,PO98,XANH ĐEN,L,,,,SẢN PHẨM CHỦ LỰC,0,130,"15,015,000 đ",
PO98,PO98-XĐ-XL,PO98,XANH ĐEN,XL,,,,SẢN PHẨM CHỦ LỰC,0,100,"11,550,000 đ",
PO98,PO98-XĐ-XXL,PO98,XANH ĐEN,XXL,,,,SẢN PHẨM CHỦ LỰC,1,65,"7,507,500 đ",
PO98,PO98-BENHAT-M,PO98,BE NHẠT,M,,,,,1,0,0 đ,
PO98,PO98-BENHAT-L,PO98,BE NHẠT,L,,,,,1,0,0 đ,
PO98,PO98-BENHAT-XL,PO98,BE NHẠT,XL,,,,,1,0,0 đ,
PO98,PO98-BENHAT-XXL,PO98,BE NHẠT,XXL,,,,,1,0,0 đ,
12,QUẦN SHORT KAKI,PO99,LC,PHỐI,SALANO,,QUẦN NGẮN,SẢN PHẨM CHỦ LỰC,"112,000 đ","4,455","498,960,000 đ",7%
,,MÃ SP,MÀU,SIZE,HÌNH,,,SẢN PHẨM CHỦ LỰC,DAY,TỒN KHO,TỔNG TIỀN,
PO99,PO99-TRANG-S,PO99,TRẮNG,S,,,,SẢN PHẨM CHỦ LỰC,1,12,"1,344,000 đ",
PO99,PO99-TRANG-M,PO99,TRẮNG,M,,,,SẢN PHẨM CHỦ LỰC,1,85,"9,520,000 đ",
PO99,PO99-TRANG-L,PO99,TRẮNG,L,,,,SẢN PHẨM CHỦ LỰC,0,136,"15,232,000 đ",
PO99,PO99-TRANG-XL,PO99,TRẮNG,XL,,,,SẢN PHẨM CHỦ LỰC,0,289,"32,368,000 đ",
PO99,PO99-DEN-S,PO99,ĐEN,S,,,,SẢN PHẨM CHỦ LỰC,1,1,"112,000 đ",
PO99,PO99-DEN-M,PO99,ĐEN,M,,,,SẢN PHẨM CHỦ LỰC,0,287,"32,144,000 đ",
PO99,PO99-DEN-L,PO99,ĐEN,L,,,,SẢN PHẨM CHỦ LỰC,0,411,"46,032,000 đ",
PO99,PO99-DEN-XL,PO99,ĐEN,XL,,,,SẢN PHẨM CHỦ LỰC,0,118,"13,216,000 đ",
PO99,PO99-BE-S,PO99,BE,S,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO99,PO99-BE-M,PO99,BE,M,,,,SẢN PHẨM CHỦ LỰC,0,308,"34,496,000 đ",
PO99,PO99-BE-L,PO99,BE,L,,,,SẢN PHẨM CHỦ LỰC,0,696,"77,952,000 đ",
PO99,PO99-BE-XL,PO99,BE,XL,,,,SẢN PHẨM CHỦ LỰC,0,569,"63,728,000 đ",
PO99,PO99-XAM-S,PO99,XÁM,S,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO99,PO99-XAM-M,PO99,XÁM,M,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO99,PO99-XAM-L,PO99,XÁM,L,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO99,PO99-XAM-XL,PO99,XÁM,XL,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO99,PO99-NAU-S,PO99,NÂU,S,,,,SẢN PHẨM CHỦ LỰC,1,0,0 đ,
PO99,PO99-NAU-M,PO99,NÂU,M,,,,SẢN PHẨM CHỦ LỰC,0,228,"25,536,000 đ",
PO99,PO99-NAU-L,PO99,NÂU,L,,,,SẢN PHẨM CHỦ LỰC,0,422,"47,264,000 đ",
PO99,PO99-NAU-XL,PO99,NÂU,XL,,,,SẢN PHẨM CHỦ LỰC,0,204,"22,848,000 đ",
